GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US49011126204,49011126204,"Census Tract 1262.04, Davis County, Utah",4883,297
1400000US49011126303,49011126303,"Census Tract 1263.03, Davis County, Utah",4603,303
1400000US49011126304,49011126304,"Census Tract 1263.04, Davis County, Utah",6104,273
1400000US49011126305,49011126305,"Census Tract 1263.05, Davis County, Utah",2275,181
1400000US49011126306,49011126306,"Census Tract 1263.06, Davis County, Utah",7499,426
1400000US49011126402,49011126402,"Census Tract 1264.02, Davis County, Utah",3538,279
1400000US49011126404,49011126404,"Census Tract 1264.04, Davis County, Utah",6418,330
1400000US49011126405,49011126405,"Census Tract 1264.05, Davis County, Utah",3898,283
1400000US49011126406,49011126406,"Census Tract 1264.06, Davis County, Utah",4424,391
1400000US49011126500,49011126500,"Census Tract 1265, Davis County, Utah",6376,356
1400000US49011126600,49011126600,"Census Tract 1266, Davis County, Utah",4910,318
1400000US49011126700,49011126700,"Census Tract 1267, Davis County, Utah",4406,398
1400000US49011126801,49011126801,"Census Tract 1268.01, Davis County, Utah",3180,227
1400000US49011126802,49011126802,"Census Tract 1268.02, Davis County, Utah",4677,253
1400000US49011126901,49011126901,"Census Tract 1269.01, Davis County, Utah",5918,540
1400000US49011126902,49011126902,"Census Tract 1269.02, Davis County, Utah",6247,486
1400000US49011127002,49011127002,"Census Tract 1270.02, Davis County, Utah",7346,556
1400000US49011127003,49011127003,"Census Tract 1270.03, Davis County, Utah",5743,387
1400000US49011127004,49011127004,"Census Tract 1270.04, Davis County, Utah",7838,443
1400000US49011127100,49011127100,"Census Tract 1271, Davis County, Utah",7196,369
1400000US49013940300,49013940300,"Census Tract 9403, Duchesne County, Utah",4592,312
1400000US49013940500,49013940500,"Census Tract 9405, Duchesne County, Utah",7947,233
1400000US49013940600,49013940600,"Census Tract 9406, Duchesne County, Utah",6839,359
1400000US49015976200,49015976200,"Census Tract 9762, Emery County, Utah",3856,229
1400000US49015976300,49015976300,"Census Tract 9763, Emery County, Utah",3583,258
1400000US49015976500,49015976500,"Census Tract 9765, Emery County, Utah",3395,251
1400000US49017000300,49017000300,"Census Tract 3, Garfield County, Utah",2559,201
1400000US49017000400,49017000400,"Census Tract 4, Garfield County, Utah",2546,201
1400000US49019000200,49019000200,"Census Tract 2, Grand County, Utah",4545,208
1400000US49019000300,49019000300,"Census Tract 3, Grand County, Utah",4803,208
1400000US49021110100,49021110100,"Census Tract 1101, Iron County, Utah",3897,262
1400000US49021110200,49021110200,"Census Tract 1102, Iron County, Utah",8295,642
1400000US49021110300,49021110300,"Census Tract 1103, Iron County, Utah",3555,416
1400000US49021110400,49021110400,"Census Tract 1104, Iron County, Utah",4638,461
1400000US49021110500,49021110500,"Census Tract 1105, Iron County, Utah",9511,563
1400000US49021110600,49021110600,"Census Tract 1106, Iron County, Utah",6002,591
1400000US49021110701,49021110701,"Census Tract 1107.01, Iron County, Utah",6230,637
1400000US49021110702,49021110702,"Census Tract 1107.02, Iron County, Utah",4597,433
1400000US49023010100,49023010100,"Census Tract 101, Juab County, Utah",5481,111
1400000US49023010200,49023010200,"Census Tract 102, Juab County, Utah",4868,111
1400000US49025130100,49025130100,"Census Tract 1301, Kane County, Utah",2327,133
1400000US49025130200,49025130200,"Census Tract 1302, Kane County, Utah",4894,133
1400000US49027974100,49027974100,"Census Tract 9741, Millard County, Utah",5055,304
1400000US49027974200,49027974200,"Census Tract 9742, Millard County, Utah",2794,255
1400000US49027974300,49027974300,"Census Tract 9743, Millard County, Utah",4733,285
1400000US49029970100,49029970100,"Census Tract 9701, Morgan County, Utah",8525,158
1400000US49029970200,49029970200,"Census Tract 9702, Morgan County, Utah",1430,158
1400000US49031960100,49031960100,"Census Tract 9601, Piute County, Utah",1921,127
1400000US49033950100,49033950100,"Census Tract 9501, Rich County, Utah",2285,*****
1400000US49035100100,49035100100,"Census Tract 1001, Salt Lake County, Utah",1428,161
1400000US49035100200,49035100200,"Census Tract 1002, Salt Lake County, Utah",1303,133
1400000US49035100306,49035100306,"Census Tract 1003.06, Salt Lake County, Utah",5240,459
1400000US49035100307,49035100307,"Census Tract 1003.07, Salt Lake County, Utah",5368,419
1400000US49035100308,49035100308,"Census Tract 1003.08, Salt Lake County, Utah",4187,397
1400000US49035100500,49035100500,"Census Tract 1005, Salt Lake County, Utah",5894,1030
1400000US49035100600,49035100600,"Census Tract 1006, Salt Lake County, Utah",7579,919
1400000US49035100700,49035100700,"Census Tract 1007, Salt Lake County, Utah",2683,303
1400000US49035100800,49035100800,"Census Tract 1008, Salt Lake County, Utah",2514,416
1400000US49035101000,49035101000,"Census Tract 1010, Salt Lake County, Utah",3131,348
1400000US49035101101,49035101101,"Census Tract 1011.01, Salt Lake County, Utah",2052,139
1400000US49035101102,49035101102,"Census Tract 1011.02, Salt Lake County, Utah",3639,326
1400000US49035101200,49035101200,"Census Tract 1012, Salt Lake County, Utah",3871,309
1400000US49035101400,49035101400,"Census Tract 1014, Salt Lake County, Utah",4649,566
1400000US49035101500,49035101500,"Census Tract 1015, Salt Lake County, Utah",3338,332
1400000US49035101600,49035101600,"Census Tract 1016, Salt Lake County, Utah",3759,287
1400000US49035101700,49035101700,"Census Tract 1017, Salt Lake County, Utah",3026,297
1400000US49035101800,49035101800,"Census Tract 1018, Salt Lake County, Utah",3284,272
1400000US49035101900,49035101900,"Census Tract 1019, Salt Lake County, Utah",2384,206
1400000US49035102000,49035102000,"Census Tract 1020, Salt Lake County, Utah",2718,397
1400000US49035102100,49035102100,"Census Tract 1021, Salt Lake County, Utah",1305,138
1400000US49035102300,49035102300,"Census Tract 1023, Salt Lake County, Utah",2870,405
1400000US49035102500,49035102500,"Census Tract 1025, Salt Lake County, Utah",2955,512
1400000US49035102600,49035102600,"Census Tract 1026, Salt Lake County, Utah",3855,442
1400000US49035102701,49035102701,"Census Tract 1027.01, Salt Lake County, Utah",5187,600
1400000US49035102702,49035102702,"Census Tract 1027.02, Salt Lake County, Utah",3964,379
